formula,r_squared,n,overall_p_value
MMSE = 31.6572 + 0.2654*ICAS_1 (p=0.3905) + -0.0545*age (p=0.001173) + -0.0705*sex (p=0.6848) + 0.0726*Education_year (p=0.007613),0.08121511427171368,219,0.0011225499549852858
cvlt_30Scorrect = 9.2973 + -0.2487*ICAS_1 (p=0.4191) + -0.0241*age (p=0.146) + -0.3308*sex (p=0.05704) + 0.0358*Education_year (p=0.1838),0.04089644981434892,219,0.06166818323720702
cvlt_10Mcorrect = 9.1030 + -0.2639*ICAS_1 (p=0.5044) + -0.0219*age (p=0.303) + -0.7701*sex (p=0.0006352) + 0.0223*Education_year (p=0.5189),0.0667508906475115,219,0.005017542014295273
Language_BNT_total = 29.7075 + -0.4103*ICAS_1 (p=0.2127) + -0.0373*age (p=0.03568) + 0.1895*sex (p=0.3062) + 0.1381*Education_year (p=2.752e-06),0.13192766794795419,219,4.026495237785532e-06
TY_CFT_copy = 33.7995 + -0.2596*ICAS_1 (p=0.6067) + -0.0249*age (p=0.3588) + -0.1801*sex (p=0.5259) + 0.1202*Education_year (p=0.006813),0.040808916412351404,219,0.06216482858867545
TY_CFT_delayed = 32.5248 + 0.2329*ICAS_1 (p=0.8872) + -0.2409*age (p=0.006761) + 0.6899*sex (p=0.4556) + 0.4018*Education_year (p=0.005485),0.07022311879178245,219,0.003520892269987863
verbal_fluency_animal_cor = 18.8019 + 1.0184*ICAS_1 (p=0.3789) + -0.0743*age (p=0.2326) + -0.7512*sex (p=0.2491) + 0.3691*Education_year (p=0.0003186),0.07056013496687263,219,0.0034012727828709455
digital_forward = 9.2756 + 0.1409*ICAS_1 (p=0.5678) + -0.0197*age (p=0.1371) + 0.2064*sex (p=0.1378) + 0.0284*Education_year (p=0.1878),0.028362145094714908,219,0.18569072749852233
digital_backward = 7.3421 + 0.2617*ICAS_1 (p=0.393) + -0.0483*age (p=0.003595) + 0.2970*sex (p=0.08581) + 0.1089*Education_year (p=6.392e-05),0.11970154074172124,219,1.6426180236339682e-05
GDS = 0.0369 + -0.2829*ICAS_1 (p=0.2846) + 0.0189*age (p=0.1833) + -0.0379*sex (p=0.7985) + -0.0401*Education_year (p=0.08312),0.025998140762340305,219,0.22573337221137346
Clock = 11.2587 + 0.1626*ICAS_1 (p=0.3892) + -0.0200*age (p=0.04968) + -0.0128*sex (p=0.9039) + -0.0061*Education_year (p=0.711),0.02121319354784612,219,0.32972369373200694
Digit_symbol_120sec = 133.2145 + -5.8181*ICAS_1 (p=0.07589) + -1.3159*age (p=1.563e-12) + -2.9638*sex (p=0.1079) + 1.4772*Education_year (p=4.976e-07),0.31417355884946485,219,1.1102230246251565e-16
