formula,r_squared,n,overall_p_value
MMSE = 31.7657 + 0.3465*CSVD_score_2/3 (p=0.05633) + -0.0582*age (p=0.0005403) + -0.0861*sex (p=0.6181) + 0.0784*Education_year (p=0.004017),0.09363060457589933,219,0.00029770174030940844
cvlt_30Scorrect = 9.3886 + -0.0093*CSVD_score_2/3 (p=0.9591) + -0.0257*age (p=0.1245) + -0.3270*sex (p=0.0604) + 0.0361*Education_year (p=0.1841),0.037970836531871166,219,0.0804524034471703
cvlt_10Mcorrect = 9.2758 + 0.1142*CSVD_score_2/3 (p=0.6243) + -0.0256*age (p=0.2327) + -0.7703*sex (p=0.0006395) + 0.0248*Education_year (p=0.4754),0.0658506096656738,219,0.005497037039591368
Language_BNT_total = 29.9242 + 0.0929*CSVD_score_2/3 (p=0.6326) + -0.0416*age (p=0.02035) + 0.1920*sex (p=0.3014) + 0.1405*Education_year (p=2.349e-06),0.1265269928211058,219,7.519890907303761e-06
TY_CFT_copy = 33.6895 + -0.3455*CSVD_score_2/3 (p=0.2448) + -0.0211*age (p=0.4374) + -0.1647*sex (p=0.5611) + 0.1144*Education_year (p=0.0103),0.045682374796893854,219,0.03954703607192389
TY_CFT_delayed = 32.4134 + -0.0338*CSVD_score_2/3 (p=0.9722) + -0.2387*age (p=0.007683) + 0.6878*sex (p=0.4572) + 0.4008*Education_year (p=0.005954),0.07014080305546189,219,0.003550725593441717
verbal_fluency_animal_cor = 18.3199 + -0.1391*CSVD_score_2/3 (p=0.8387) + -0.0649*age (p=0.3007) + -0.7607*sex (p=0.2441) + 0.3647*Education_year (p=0.00042),0.06736481021818308,219,0.004714130201715294
digital_forward = 9.1790 + -0.0683*CSVD_score_2/3 (p=0.6385) + -0.0176*age (p=0.1865) + 0.2067*sex (p=0.1374) + 0.0269*Education_year (p=0.2155),0.02788092454774449,219,0.19329530795521266
digital_backward = 7.2466 + 0.0107*CSVD_score_2/3 (p=0.9528) + -0.0467*age (p=0.005275) + 0.2930*sex (p=0.09077) + 0.1086*Education_year (p=7.704e-05),0.11670276111313316,219,2.308644422266415e-05
GDS = 0.2665 + 0.1951*CSVD_score_2/3 (p=0.2104) + 0.0138*age (p=0.334) + -0.0406*sex (p=0.7844) + -0.0360*Education_year (p=0.1215),0.027927838119387705,219,0.19254207194515283
Clock = 11.1759 + -0.0317*CSVD_score_2/3 (p=0.7757) + -0.0183*age (p=0.07394) + -0.0140*sex (p=0.8952) + -0.0070*Education_year (p=0.6744),0.01818085457929086,219,0.41353022226645697
Digit_symbol_120sec = 135.1986 + -0.4648*CSVD_score_2/3 (p=0.8106) + -1.3490*age (p=9.63e-13) + -2.8665*sex (p=0.1227) + 1.4795*Education_year (p=6.819e-07),0.30416452128382654,219,4.440892098500626e-16
