group_val,cat_col,diameter,group0,group1,n_group0,n_group1,test,statistic,p_value
All,ICASS,BA_diameter,1.09 [0.90–1.29],1.06 [0.96–1.16],166,44,Mann-Whitney U,4057.0,0.25901452346195564
All,ICASS,LICA_diameter,1.73 [1.49–1.95],1.74 [1.60–1.89],167,44,Mann-Whitney U,3767.0,0.7973857364975646
All,ICASS,RICA_diameter,1.70 [1.45–1.97],1.70 [1.56–1.83],167,44,Mann-Whitney U,3856.0,0.6144373211507587
All,ICAS,BA_diameter,1.09 [0.88–1.28],1.01 [0.82–1.20],194,16,Mann-Whitney U,1892.0,0.14616551225637875
All,ICAS,LICA_diameter,1.71 [1.48–1.95],1.80 [1.55–2.06],195,16,Mann-Whitney U,1372.0,0.42450386967621123
All,ICAS,RICA_diameter,1.70 [1.41–1.97],1.74 [1.50–1.98],195,16,Mann-Whitney U,1470.0,0.7030447291048997
All,sex,BA_diameter,1.20 [1.15–1.25],0.88 [0.78–1.06],141,69,Mann-Whitney U,7379.0,1.214799345179316e-09
All,sex,LICA_diameter,1.83 [1.63–2.19],1.45 [1.37–1.53],142,69,Mann-Whitney U,7954.0,2.109651154578127e-13
All,sex,RICA_diameter,1.87 [1.80–1.94],1.42 [1.35–1.48],142,69,t-test,8.58124204941195,2.135468747998858e-15
All,Alcohol,BA_diameter,1.16 [0.97–1.26],1.03 [0.83–1.29],68,142,Mann-Whitney U,5500.0,0.10317355200859221
All,Alcohol,LICA_diameter,1.74 [1.58–1.97],1.70 [1.40–1.98],68,143,Mann-Whitney U,5284.0,0.30917922567480294
All,Alcohol,RICA_diameter,1.80 [1.71–1.90],1.66 [1.36–1.96],68,143,Mann-Whitney U,5690.0,0.045880072941706325
All,Smoke,BA_diameter,1.11 [0.90–1.33],0.97 [0.89–1.05],171,39,Mann-Whitney U,4403.0,0.0018157694476873302
All,Smoke,LICA_diameter,1.75 [1.52–2.05],1.52 [1.40–1.63],172,39,Mann-Whitney U,4670.0,0.00013272217861482998
All,Smoke,RICA_diameter,1.78 [1.71–1.84],1.47 [1.38–1.57],172,39,t-test,4.271414310942395,2.9486768888088498e-05
All,HTN,BA_diameter,1.09 [0.87–1.29],1.05 [0.83–1.27],146,64,Mann-Whitney U,4854.0,0.6543157608446666
All,HTN,LICA_diameter,1.73 [1.49–2.03],1.68 [1.42–1.93],147,64,Mann-Whitney U,5068.0,0.37259813057561464
All,HTN,RICA_diameter,1.74 [1.67–1.80],1.69 [1.58–1.79],147,64,Mann-Whitney U,5082.0,0.35446813334305105
All,DM,BA_diameter,1.07 [0.84–1.27],1.21 [1.09–1.33],177,33,Mann-Whitney U,2352.0,0.0763333359564181
All,DM,LICA_diameter,1.71 [1.46–1.96],1.86 [1.68–2.03],178,33,Mann-Whitney U,2548.0,0.22781809346165127
All,DM,RICA_diameter,1.71 [1.65–1.77],1.81 [1.64–1.98],178,33,Mann-Whitney U,2565.0,0.24881750977279593
All,Dyslipidemia,BA_diameter,1.11 [1.06–1.17],1.03 [0.86–1.26],129,81,Mann-Whitney U,5422.0,0.6458046986205175
All,Dyslipidemia,LICA_diameter,1.76 [1.68–1.83],1.67 [1.48–1.99],130,81,Mann-Whitney U,5393.0,0.7675281592788225
All,Dyslipidemia,RICA_diameter,1.73 [1.65–1.80],1.71 [1.63–1.80],130,81,Mann-Whitney U,5329.0,0.8829542493860256
CSVD score 0,ICASS,BA_diameter,1.12 [1.03–1.20],1.07 [0.89–1.26],53,15,Mann-Whitney U,428.0,0.6572489021995354
CSVD score 0,ICASS,LICA_diameter,1.77 [1.66–1.88],1.67 [1.42–1.92],53,15,Mann-Whitney U,445.0,0.48695945331290336
CSVD score 0,ICASS,RICA_diameter,1.74 [1.63–1.84],1.66 [1.40–1.92],53,15,Mann-Whitney U,440.0,0.5344677038170831
CSVD score 0,ICAS,BA_diameter,1.12 [1.04–1.20],0.92 [0.53–1.30],64,4,Mann-Whitney U,183.0,0.16115964807799749
CSVD score 0,ICAS,LICA_diameter,1.75 [1.65–1.85],1.73 [0.98–2.48],64,4,Mann-Whitney U,129.0,0.9899642061187274
CSVD score 0,ICAS,RICA_diameter,1.72 [1.62–1.82],1.72 [0.87–2.57],64,4,Mann-Whitney U,134.0,0.890031127783542
CSVD score 0,sex,BA_diameter,1.14 [1.06–1.23],1.01 [0.87–1.15],50,18,Mann-Whitney U,569.0,0.09950382054487009
CSVD score 0,sex,LICA_diameter,1.86 [1.75–1.97],1.43 [1.29–1.57],50,18,Mann-Whitney U,731.0,9.650324455643563e-05
CSVD score 0,sex,RICA_diameter,1.84 [1.73–1.94],1.39 [1.27–1.51],50,18,t-test,4.742655267294717,1.1690982283833113e-05
CSVD score 0,Alcohol,BA_diameter,1.15 [1.04–1.26],1.01 [0.82–1.34],23,45,Mann-Whitney U,599.0,0.29372742493660076
CSVD score 0,Alcohol,LICA_diameter,1.85 [1.70–1.99],1.70 [1.57–1.83],23,45,Mann-Whitney U,628.0,0.15389766544567607
CSVD score 0,Alcohol,RICA_diameter,1.85 [1.71–1.99],1.65 [1.53–1.77],23,45,Mann-Whitney U,669.0,0.050304024097439004
CSVD score 0,Smoke,BA_diameter,1.14 [1.06–1.22],0.95 [0.76–1.14],57,11,Mann-Whitney U,429.0,0.05545799988613503
CSVD score 0,Smoke,LICA_diameter,1.82 [1.72–1.92],1.37 [1.16–1.57],57,11,Mann-Whitney U,516.0,0.0007676186181600329
CSVD score 0,Smoke,RICA_diameter,1.79 [1.69–1.89],1.36 [1.17–1.54],57,11,Mann-Whitney U,503.0,0.0016455731625780654
