Feature,Test,Statistic,p-value
age,Mann-Whitney U,3658.0,0.005764397771407249
Education_year,Mann-Whitney U,5433.0,0.13345780224752815
BA_diameter,Mann-Whitney U,3963.0,0.304317363570915
LICA_diameter,Mann-Whitney U,4219.0,0.5694984277530678
RICA_diameter,Mann-Whitney U,4088.0,0.36931372994738265
Height,Mann-Whitney U,4781.5,0.9298566070019678
Weight,Mann-Whitney U,4392.5,0.3108445311347747
SBP,t-test,-2.218058662943653,0.02758741602947158
DBP,Mann-Whitney U,4465.5,0.4009386845701106
BMI,Mann-Whitney U,4439.5,0.3672343959961819
Waist,Mann-Whitney U,3983.0,0.046800185784544125
Hip,Mann-Whitney U,4647.0,0.6831565092824792
Pulse,Mann-Whitney U,4497.0,0.44425315695510803
Daily_calories ,Mann-Whitney U,2514.5,0.5880390377630624
gait,Mann-Whitney U,5486.0,0.11280712632777061
grip,Mann-Whitney U,4726.5,0.8267486125676913
sit_stand,Mann-Whitney U,4004.0,0.05266129490046255
IPAQ,Mann-Whitney U,2701.5,0.8856975242495361
Cholesterol,Mann-Whitney U,6179.5,0.0003832642608848003
TG,Mann-Whitney U,2460.5,0.4588522697324583
LDL,Mann-Whitney U,5840.5,0.006297249194816666
HbA1C,Mann-Whitney U,3812.5,0.029730847838334497
MMSE,Mann-Whitney U,4605.0,0.5954594966827356
cvlt_30Scorrect,Mann-Whitney U,5235.5,0.29387554027795504
cvlt_10Mcorrect,Mann-Whitney U,4911.0,0.8211495881870519
Language_BNT_total,Mann-Whitney U,5266.5,0.25276532588064216
TY_CFT_copy,Mann-Whitney U,5380.0,0.17553341641546227
TY_CFT_delayed,Mann-Whitney U,5007.5,0.6545541837807316
verbal_fluency_animal_cor,Mann-Whitney U,5238.5,0.31756692249786667
digital_forward,Mann-Whitney U,5348.5,0.15353580195250544
digital_backward,Mann-Whitney U,5242.0,0.2989173039777048
GDS,Mann-Whitney U,4476.0,0.37111076331629944
Clock,Mann-Whitney U,5090.5,0.2870678553645013
Digit_symbol_120sec,Mann-Whitney U,5616.0,0.057937814726921805
GMV,Mann-Whitney U,5443.0,0.13800081519558657
WMV,Mann-Whitney U,4735.0,0.8425423612074853
CSFV,Mann-Whitney U,3887.0,0.026691877876159186
TIV,Mann-Whitney U,4451.0,0.3819738754643919
gBA,Mann-Whitney U,4026.0,0.059385837831586366
gBAG,Mann-Whitney U,4519.0,0.47615671045821273
PVWMH,Mann-Whitney U,2772.0,1.1243324109962749e-06
DPWMH,Mann-Whitney U,2790.0,1.3950838150752704e-06
TotalWMH,Mann-Whitney U,2669.0,3.161449515499431e-07
CSVD_score,Chi-square,0.0,1.0
SVD_type,Chi-square,148.45015573617155,4.373417203882404e-31
ICAD_vessels,Chi-square,0.0,1.0
ICAS,Chi-square,0.0006313764557779788,0.9799535001862806
sex,Chi-square,0.3081562927223182,0.5788137675398177
Alcohol,Chi-square,0.2150575977952921,0.6428318641971139
Smoke,Chi-square,0.06264650096046723,0.8023609005510081
HTN,Chi-square,7.775748806745764,0.005295226210774252
DM,Chi-square,7.712833980626635,0.0054829607327851505
Dyslipidemia,Chi-square,0.2672585474726307,0.605176718556885
WMH_score,Chi-square,64.04940606510846,1.213378664943331e-15
lacune,Chi-square,68.85756621436099,1.0583776403359951e-16
CMB,Chi-square,61.56860000098317,4.275833353930502e-15
strictly_lobar,Chi-square,10.482534471636615,0.0012050832702990668
