Feature,Total,Missing,All,Parametric,CSVD_score_0.0,CSVD_score_1.0,CSVD_score_2.0,CSVD_score_3.0,SVD_type_Control,SVD_type_SVD type 1,SVD_type_SVD type 2,SVD_type_SVD type 3,SVD_type_SVD type 4
age,226,15,70.96 [68.00–73.45] (n=226.00),False,70.48 [66.14–72.43] (n=72.00),71.01 [70.06–71.96] (n=91.00),72.26 [70.58–73.93] (n=41.00),71.92 [69.72–74.12] (n=19.00),70.70 [67.00–72.88] (n=110.00),71.23 [69.38–73.07] (n=31.00),74.04 [71.79–76.28] (n=19.00),71.81 [69.95–73.67] (n=35.00),70.05 [68.56–71.55] (n=28.00)
Education_year,224,17,14.00 [12.00–16.00] (n=224.00),False,14.00 [12.00–16.00] (n=71.00),16.00 [13.00–16.00] (n=91.00),14.00 [12.00–16.00] (n=41.00),14.06 [12.51–15.60] (n=18.00),15.00 [13.00–16.00] (n=109.00),14.00 [12.00–16.00] (n=31.00),14.16 [12.44–15.88] (n=19.00),14.00 [12.00–16.00] (n=34.00),14.00 [12.00–16.00] (n=28.00)
Height,226,15,158.73 [157.79–159.66] (n=226.00),True,158.36 [156.64–160.08] (n=72.00),159.17 [157.70–160.64] (n=91.00),158.18 [155.80–160.55] (n=41.00),160.18 [157.35–163.02] (n=19.00),158.56 [157.21–159.91] (n=110.00),158.67 [155.98–161.37] (n=31.00),158.53 [154.89–162.18] (n=19.00),159.29 [157.02–161.55] (n=35.00),159.55 [156.64–162.45] (n=28.00)
Weight,226,15,59.88 [52.82–67.67] (n=226.00),False,61.07 [58.18–63.96] (n=72.00),60.15 [57.88–62.42] (n=91.00),62.00 [53.90–67.30] (n=41.00),60.10 [55.18–65.02] (n=19.00),60.97 [58.78–63.16] (n=110.00),60.68 [56.28–65.08] (n=31.00),61.96 [55.90–68.02] (n=19.00),59.65 [55.77–63.53] (n=35.00),61.59 [57.50–65.68] (n=28.00)
SBP,226,15,131.00 [128.63–133.37] (n=226.00),True,127.97 [123.61–132.32] (n=72.00),131.46 [127.55–135.37] (n=91.00),138.01 [133.10–142.92] (n=41.00),128.34 [122.28–134.41] (n=19.00),129.12 [125.42–132.82] (n=110.00),135.44 [129.37–141.50] (n=31.00),139.16 [130.43–147.89] (n=19.00),132.96 [127.49–138.42] (n=35.00),127.64 [122.77–132.52] (n=28.00)
DBP,226,15,80.94 [79.63–82.25] (n=226.00),True,79.75 [74.00–86.50] (n=72.00),81.05 [79.01–83.09] (n=91.00),83.28 [80.29–86.27] (n=41.00),77.68 [74.06–81.30] (n=19.00),80.00 [74.00–86.38] (n=110.00),82.68 [79.38–85.97] (n=31.00),84.13 [78.73–89.53] (n=19.00),80.21 [77.33–83.10] (n=35.00),80.39 [77.35–83.44] (n=28.00)
BMI,227,14,23.70 [21.85–25.60] (n=227.00),False,23.97 [21.63–25.77] (n=72.00),23.62 [22.94–24.30] (n=91.00),24.08 [22.60–26.86] (n=41.00),23.35 [21.78–24.91] (n=19.00),23.97 [21.82–25.68] (n=110.00),23.97 [22.64–25.29] (n=31.00),24.56 [22.44–26.68] (n=19.00),23.10 [21.68–24.78] (n=35.00),24.12 [22.90–25.34] (n=28.00)
Waist,226,15,83.90 [82.56–85.25] (n=226.00),True,84.73 [82.23–87.22] (n=72.00),82.14 [80.02–84.26] (n=91.00),84.50 [80.00–90.00] (n=41.00),87.70 [84.65–90.90] (n=19.00),84.12 [82.06–86.19] (n=110.00),81.65 [78.24–85.06] (n=31.00),87.55 [82.31–92.79] (n=19.00),83.38 [80.03–86.73] (n=35.00),84.27 [80.91–87.63] (n=28.00)
Hip,226,15,94.00 [90.00–98.15] (n=226.00),False,94.75 [89.75–98.62] (n=72.00),94.32 [92.97–95.68] (n=91.00),94.00 [90.40–97.20] (n=41.00),95.90 [93.40–99.75] (n=19.00),94.80 [90.50–98.88] (n=110.00),94.34 [91.75–96.93] (n=31.00),95.50 [91.00–97.20] (n=19.00),94.00 [89.70–98.00] (n=35.00),94.21 [91.91–96.52] (n=28.00)
Pulse,226,15,67.50 [63.00–73.50] (n=226.00),False,67.25 [62.38–73.00] (n=72.00),67.50 [63.75–72.75] (n=91.00),68.93 [66.22–71.63] (n=41.00),73.58 [66.76–80.40] (n=19.00),68.00 [62.12–73.38] (n=110.00),67.00 [64.00–72.00] (n=31.00),69.32 [65.66–72.98] (n=19.00),69.83 [66.43–73.23] (n=35.00),66.50 [63.38–74.75] (n=28.00)
Daily_calories ,169,72,1230.00 [1146.00–1347.00] (n=169.00),False,1201.00 [1137.00–1347.50] (n=58.00),1245.50 [1146.50–1394.75] (n=66.00),1280.03 [1219.22–1340.85] (n=31.00),1214.83 [1163.65–1266.02] (n=12.00),1225.00 [1150.75–1374.75] (n=82.00),1260.62 [1182.28–1338.97] (n=24.00),1262.71 [1156.43–1369.00] (n=14.00),1244.50 [1170.50–1315.75] (n=26.00),1260.10 [1185.11–1335.08] (n=21.00)
pace_m_per_sec,226,15,1.56 [0.91–1.79] (n=226.00),False,1.60 [1.36–1.85] (n=72.00),1.56 [0.74–1.86] (n=91.00),1.50 [1.12–1.78] (n=41.00),1.49 [0.74–1.63] (n=19.00),1.60 [0.91–1.86] (n=110.00),1.57 [1.15–1.90] (n=31.00),1.50 [1.07–1.71] (n=19.00),1.49 [0.88–1.64] (n=35.00),1.58 [1.07–1.79] (n=28.00)
grip,226,15,23.80 [19.82–32.08] (n=226.00),False,24.05 [20.55–31.02] (n=72.00),23.80 [19.85–33.20] (n=91.00),27.16 [24.58–29.75] (n=41.00),23.01 [20.05–25.97] (n=19.00),24.45 [20.75–32.45] (n=110.00),23.10 [19.70–30.25] (n=31.00),26.70 [22.40–31.00] (n=19.00),23.00 [19.85–29.60] (n=35.00),25.57 [22.44–28.70] (n=28.00)
chair_sit_up,226,15,8.21 [6.85–9.71] (n=226.00),False,7.94 [6.88–9.07] (n=72.00),8.09 [6.69–9.77] (n=91.00),8.56 [7.00–9.93] (n=41.00),8.32 [7.83–11.34] (n=19.00),7.89 [6.67–9.09] (n=110.00),8.44 [7.05–9.96] (n=31.00),8.97 [7.61–10.12] (n=19.00),8.09 [6.91–9.64] (n=35.00),8.71 [8.05–10.17] (n=28.00)
IPAQ,169,72,23.10 [11.55–40.65] (n=169.00),False,22.82 [13.20–44.12] (n=58.00),22.28 [11.55–35.45] (n=66.00),23.10 [12.05–43.80] (n=31.00),25.42 [14.87–35.97] (n=12.00),23.10 [13.31–42.33] (n=82.00),23.05 [17.64–28.45] (n=24.00),28.62 [16.26–40.99] (n=14.00),17.25 [8.47–35.79] (n=26.00),31.37 [22.26–40.47] (n=21.00)
